company,label,n,min_tapeyear,max_tapeyear,words
MARSALIS,,1,2003,2003,1
MARSDEN,,1,2018,2018,1
MARTA,,1,2020,2020,1
MARTENS,,1,2004,2004,1
MARTINELLE,,1,1992,1992,1
MARTINI,,1,2005,2005,1
MARTINS,,1,2099,2099,1
MARTORELL,,1,2002,2002,1
MARVIN,,1,2017,2017,1
MARZOCCHI,,1,2013,2013,1
MASCIS,,1,2005,2005,1
MASLOWSKI,,1,1998,1998,1
MASON-BLAIR,,1,2099,2099,1
MASQUERADE,,1,1990,1990,1
MASSIE,,1,1998,1998,1
MASSINGILL,,1,2010,2010,1
MASTERCARD,,1,2004,2004,1
MASTERS,,1,2099,2099,1
MASTRAPA,,1,2020,2020,1
MASUMOTO,,1,2019,2019,1
MASUNAGA,,1,1992,1992,1
MATEEN,,1,2000,2000,1
MATEO,,1,2020,2020,1
MATERNI,,1,2016,2016,1
MATHER,,1,2018,2018,1
MATHEWS,,1,1994,1994,1
MATHIAS,,1,2009,2009,1
MATNEY,,1,1991,1991,1
MATOVICH,,1,2008,2008,1
MATTE,,1,2020,2020,1
MATTEO,,1,2008,2008,1
MATULA,,1,2020,2020,1
MAURER,,1,1999,1999,1
MAWATU,,1,2014,2014,1
MAWDSLEY,,1,2014,2014,1
MAWHINNEY,,1,1998,1998,1
MAXEY,,1,1997,1997,1
MAYBANK,,1,2000,2000,1
MAYORGA,,1,2017,2017,1
MAZICK,,1,2009,2009,1
MAZZARI,,1,2000,2000,1
MAZZEO,,1,2001,2001,1
MAZZONE,,1,2002,2002,1
MBANEFO,,1,2019,2019,1
MCA,,1,1992,1992,1
MCAFEE,,1,2000,2000,1
MCALISTER,,1,2008,2008,1
MCANANY,,1,2003,2003,1
MCARDLE,,1,2008,2008,1
MCARTHUR,,1,2014,2014,1
MCCANT,,1,2017,2017,1
MCCANTS,,1,2011,2011,1
MCCLATCHEY,,1,2008,2008,1
MCCLENDON,,1,2012,2012,1
MCCLOSKEY,,1,2019,2019,1
MCCLUSKEY,,1,2016,2016,1
MCCONNELL,,1,1999,1999,1
MCCORKLE,,1,1988,1988,1
MCCOURY,,1,2005,2005,1
MCCOY,,1,2015,2015,1
MCCULLOCH,,1,2011,2011,1
MCCULLOUGH,,1,2009,2009,1
MCCUMBERS,,1,2019,2019,1
MCCURDY,,1,2000,2000,1
MCCURRY,,1,2019,2019,1
MCCUTCHEN,,1,1992,1992,1
MCDADE,,1,2003,2003,1
MCDANIEL,,1,2008,2008,1
MCDONOUGH,,1,1997,1997,1
MCDOWELL,,1,2004,2004,1
MCELROY,,1,2013,2013,1
MCELVAIN,,1,2009,2009,1
MCELYA,,1,1999,1999,1
MCENROE,,1,2017,2017,1
MCEVILLEY,,1,2010,2010,1
MCEWEN,,1,2020,2020,1
MCFARLIN,,1,1997,1997,1
MCFATE,,1,2006,2006,1
MCGAUGHEY,,1,1993,1993,1
MCGINN,,1,1999,1999,1
MCGINNESS,,1,2005,2005,1
MCGLASSON,,1,2017,2017,1
MCGOUGH,,1,1996,1996,1
MCGRIEVEY,,1,1997,1997,1
MCGUAN,,1,2012,2012,1
MCINTOSH,,1,2010,2010,1
MCKAIN,,1,2015,2015,1
MCKEAN,,1,2007,2007,1
MCKEEHAN,,1,1992,1992,1
MCKEOWN,,1,2008,2008,1
MCKERNAN,,1,2001,2001,1
MCKIM,,1,2018,2018,1
MCLACHLAN,,1,2099,2099,1
MCLANAHAN,,1,2014,2014,1
MCLEAN,,1,2006,2006,1
MCLOUGHLIN,,1,2018,2018,1
MCMAHAN,,1,2001,2001,1
MCMAHON,,1,1995,1995,1
MCMAINS,,1,2007,2007,1
MCMANUS,,1,2012,2012,1
MCMILLON,,1,2099,2099,1
MCMULLAN,,1,2002,2002,1
MCMURRY,,1,1995,1995,1
MCNARY-ROBINSON,,1,2004,2004,1
MCNEAL,,1,2017,2017,1
MCNEELY,,1,1995,1995,1
MCNEIL,,1,2011,2011,1
MCNEILL,,1,2018,2018,1
MCNENNY,,1,2005,2005,1
MCPARTHLAND,,1,1988,1988,1
MCPHAIL,,1,2007,2007,1
MCPIKE,,1,2007,2007,1
MCQUAID-DIXON,,1,2011,2011,1
MCRAAE,,1,1997,1997,1
MCREYNOLDS-WADE,,1,1996,1996,1
MCSHEA,,1,1993,1993,1
MCSMITH,,1,2011,2011,1
MCSTAY,,1,2007,2007,1
MCTIERNAN,,1,1995,1995,1
MEACHAM,,1,2020,2020,1
MEADOR,,1,1989,1989,1
MEANIX,,1,2019,2019,1
MEAUX,,1,1994,1994,1
MEBANE,,1,1997,1997,1
MEEHAN,,1,2009,2009,1
MEGNA,,1,2017,2017,1
MEIJ,,1,2006,2006,1
MEINZER,,1,1989,1989,1
MEJIA-LOPEZ,,1,2016,2016,1
MELENDEZ,,1,2018,2018,1
MELLIN,,1,2099,2099,1
MELTZER,,1,2018,2018,1
MELVIN,,1,2017,2017,1
MENA,,1,2012,2012,1
MENDEZ,,1,1997,1997,1
MENDEZ-CARATINI,,1,1996,1996,1
MENDLER,,1,2000,2000,1
MENDOZA-CANAS,,1,2002,2002,1
MENNA,,1,2017,2017,1
MENON,,1,2013,2013,1
MENSA-SANTANA,,1,2012,2012,1
MERCHANT,,1,1996,1996,1
MERETSKY/RESPONSE,,1,1990,1990,1
MERIDA,,1,2018,2018,1
MERLINO,,1,1991,1991,1
MERMAN,,1,2017,2017,1
MERRIWEATHER,,1,2021,2021,1
MERRY-GO-ROUND,,1,1996,1996,1
MERRYWEATHER,,1,2010,2010,1
MERSHIMER,,1,2007,2007,1
MERTE,,1,2013,2013,1
MERULLO,,1,2012,2012,1
MESHON,,1,1999,1999,1
MESHWERKS,,1,2006,2006,1
MESHWORKS,,1,2006,2006,1
MESSAGEBROADCAST.COM,,1,2006,2006,1
MESSENGER,,1,2005,2005,1
MESSINA,,1,2008,2008,1
MESSINGER,,1,2009,2009,1
MESSNER,,1,2011,2011,1
MESTRE,,1,2005,2005,1
METHE,,1,2020,2020,1
"METROGUIDE.COM,INC.",,1,2003,2003,1
METZLER/HULL,,1,2001,2001,1
MEZA,,1,1989,1989,1
MGM-PATHE,,1,1993,1993,1
MICHELSON,,1,1991,1991,1
MICHLIN-ENNIS,,1,1991,1991,1
MICKUS,,1,2010,2010,1
MICROSTUF,,1,1988,1988,1
MIDDLETON,,1,2013,2013,1
MIFFLIN,,1,2006,2006,1
MIGNOGNA,,1,1997,1997,1
MIKA,,1,2003,2003,1
MILANO,,1,2008,2008,1
MILEY,,1,2002,2002,1
MILLIGAN,,1,1997,1997,1
MILLIKEN,,1,2004,2004,1
MINAEY,,1,2016,2016,1
MINAFO,,1,2020,2020,1
MINDELL,,1,2005,2005,1
MINK,,1,1998,1998,1
MINOLI,,1,1998,1998,1
MINSART,,1,2007,2007,1
MINUCCI,,1,1990,1990,1
MIRAMON,,1,2017,2017,1
MISHAK,,1,2008,2008,1
MISHIEV,,1,2020,2020,1
MISHLER,,1,2011,2011,1
MISRAJE,,1,2014,2014,1
MISS,,1,2002,2002,1
MISSBRENNER,,1,1993,1993,1
MIXON,,1,2017,2017,1
MIZIOZNIKOV,,1,2017,2017,1
MIZZY,,1,2002,2002,1
MLYN,,1,1991,1991,1
MOAKLER,,1,2015,2015,1
MOATE,,1,2012,2012,1
MOBERG,,1,2010,2010,1
MOCOMBE,,1,2015,2015,1
MODU,,1,2021,2021,1
MOEHLMAN,,1,2003,2003,1
MOFFATT,,1,2001,2001,1
MOGHADDAMI,,1,1997,1997,1
MOHAMMED,,1,2010,2010,1
MOHR,,1,2016,2016,1
MOINE,,1,1989,1989,1
MOLD,,1,1988,1988,1
MONDANE,,1,2008,2008,1
MONDRAGON,,1,2099,2099,1
MONES,,1,2018,2018,1
MONFORT,,1,2020,2020,1
MONGIELLO,,1,1989,1989,1
MONSON,,1,2012,2012,1
MONTAG,,1,2006,2006,1
MONTAGUE,,1,2003,2003,1
MONTANA,,1,2008,2008,1
MONTELEONE,,1,2018,2018,1
MONTFORT,,1,2002,2002,1
MONTIJO,,1,2010,2010,1
MONTWILLO,,1,2008,2008,1
MOODY,,1,2000,2000,1
MOOGAN,,1,1988,1988,1
MOOK,,1,1992,1992,1
MOORADIAN,,1,2011,2011,1
MOORMAN,,1,2009,2009,1
MOOS,,1,2018,2018,1
MOQUIN,,1,1998,1998,1
MORALES,,1,2010,2010,1
MORALES-CRUZ,,1,2012,2012,1
MORAVEC,,1,2014,2014,1
MORBEE,,1,2010,2010,1
MOREHEAD,,1,1996,1996,1
MORENO,,1,2014,2014,1
MOREVERENDEAVOR,,1,1988,1988,1
MOREY,,1,1992,1992,1
MORFORD,,1,2099,2099,1
MORGENSTEIN,,1,1998,1998,1
MORISKY,,1,2021,2021,1
MORLEY,,1,2010,2010,1
MORONTA,,1,2016,2016,1
MORREIRA,,1,2015,2015,1
MORRISON,,1,1994,1994,1
MORSE-BABB,,1,2003,2003,1
MORSELLINO,,1,2012,2012,1
MORSETTE,,1,2013,2013,1
"MOSCOSO,V",,1,1988,1988,1
MOSES,,1,2014,2014,1
MOSKOWITZ,,1,1998,1998,1
MOSS,,1,2008,2008,1
MOSTERT,,1,1999,1999,1
MOTE,,1,1995,1995,1
MOTT,,1,2099,2099,1
MOUGIN,,1,2012,2012,1
MOURABIT,,1,2019,2019,1
MOURIER,,1,2003,2003,1
MOUZON,,1,1990,1990,1
MOWBRAY,,1,2000,2000,1
MOWER,,1,2003,2003,1
MOWREY,,1,2002,2002,1
MOXLEY,,1,2000,2000,1
"MOYER,OLLIE",,1,1988,1988,1
MOZER,,1,2011,2011,1
MRAZ,,1,2020,2020,1
MUELLER,,1,2009,2009,1
MUHAMMAD,,1,2018,2018,1
MUIRBROOK,,1,2013,2013,1
MULCAHY,,1,2005,2005,1
MULCARE,,1,1998,1998,1
MULHAIR,,1,2000,2000,1
MULIRA,,1,1992,1992,1
MULLAN,,1,1995,1995,1
MULLIS,,1,1990,1990,1
MUNDUS,,1,1998,1998,1
MUNGADZE,,1,1992,1992,1
MUNIZ,,1,2008,2008,1
MUNRO,,1,2099,2099,1
MUNSART,,1,1997,1997,1
MUNSON,,1,2018,2018,1
MUNTER,,1,2007,2007,1
MURDOCK,,1,2017,2017,1
MURDZA,,1,1994,1994,1
MURILLO,,1,2099,2099,1
MUSERO,,1,2010,2010,1
MUSIL,,1,2010,2010,1
MUSSELWHITE,,1,1998,1998,1
MUU,,1,2016,2016,1
MUZIANI,,1,2014,2014,1
N.F.L.,,1,2001,2001,1
NABAVI,,1,2009,2009,1
NABER,,1,1995,1995,1
NABOKOV,,1,1999,1999,1
NACHMAN,,1,2015,2015,1
NADAV,,1,2020,2020,1
NADEL,,1,2000,2000,1
NADELSTERN,,1,2007,2007,1
NAFSA,,1,2006,2006,1
NAGEL,,1,1989,1989,1
NAGLE,,1,2021,2021,1
NAHAT,,1,2014,2014,1
NAHIGIAN,,1,2008,2008,1
NAHTANABA,,1,1997,1997,1
NAKAMURA,,1,2008,2008,1
NANCARROW,,1,2008,2008,1
NANCE,,1,2011,2011,1
NAPIER,,1,2008,2008,1
NAPOLITANO,,1,2013,2013,1
NAQUIN,,1,2011,2011,1
NARCISO,,1,2003,2003,1
NARDI,,1,1996,1996,1
NARKIEWICZ-LAINE,,1,2018,2018,1
NASON,,1,2019,2019,1
NASSIF,,1,1994,1994,1
NASSON,,1,1988,1988,1
NAST,,1,1989,1989,1
NATHAN,,1,2011,2011,1
NATOLI,,1,2010,2010,1
NAUMANN,,1,2011,2011,1
NAVARRO,,1,2099,2099,1
NAVES,,1,2010,2010,1
NAYTHONS,,1,2006,2006,1
NEAL,,1,2005,2005,1
NEALEY,,1,1989,1989,1
NEALY,,1,2001,2001,1
NEASI-WEBER,,1,1988,1988,1
NEEDHAM,,1,2003,2003,1
NEFT,,1,1989,1989,1
NEGLEY,,1,2013,2013,1
NEGRON-BASMESON,,1,2014,2014,1
NEGRONI-SANTOS,,1,2006,2006,1
NEIGHBORS,,1,2099,2099,1
NEIMARK,,1,2008,2008,1
NEJEM,,1,2005,2005,1
NEMETH,,1,1999,1999,1
NERI,,1,2013,2013,1
NESBITT,,1,2001,2001,1
NESIS,,1,1993,1993,1
NESSELL,,1,1997,1997,1
NESSEN,,1,1992,1992,1
NEUMANN,,1,2015,2015,1
NEUTROGENA,,1,1990,1990,1
NEWCOMBE,,1,2015,2015,1
NEWLAND,,1,1992,1992,1
NEWSOM,,1,2008,2008,1
NEWT,,1,2016,2016,1
NGUBANI,,1,2012,2012,1
NICASSIO,,1,2018,2018,1
NICHOLSON,,1,2004,2004,1
NICHOLSON-HOFHEINZ,,1,2004,2004,1
NICKELL,,1,1992,1992,1
NICKERSON,,1,2021,2021,1
NICOLA,,1,2018,2018,1
NICOLAU,,1,2016,2016,1
NIEBRUGGE,,1,2008,2008,1
NIELSEN,,1,1993,1993,1
NIERENBERG,,1,2004,2004,1
NIESE,,1,2007,2007,1
NIHALANI,,1,2014,2014,1
NIKOLA,,1,2012,2012,1
NILSON,,1,2006,2006,1
NIRO,,1,2015,2015,1
NIX,,1,2001,2001,1
NJDA,,1,1998,1998,1
NOBILE,,1,2018,2018,1
NOBLES,,1,2001,2001,1
NOCHE,,1,2020,2020,1
NOETH,,1,1992,1992,1
NOFS,,1,2000,2000,1
NOH,,1,2005,2005,1
NOJIRI,,1,2020,2020,1
NOLAND,,1,2020,2020,1
NOLO,,1,2002,2002,1
NORA,,1,2014,2014,1
NORCIA,,1,2002,2002,1
NORDEN,,1,1999,1999,1
NORDSTROM,,1,2013,2013,1
NOREAU-JONES,,1,2020,2020,1
NORED,,1,2018,2018,1
NORIEGA,,1,2021,2021,1
NORMAN,,1,2001,2001,1
NORMAN-BOUDREAU,,1,1998,1998,1
NORRED,,1,2006,2006,1
NORTHRUP,,1,1992,1992,1
"NORVAS,WILLIAM",,1,1988,1988,1
NOTHNAGEL,,1,2018,2018,1
NOTZ,,1,2002,2002,1
NOVAK,,1,2009,2009,1
NOVAKOVIC,,1,2004,2004,1
NOVOSELETSKY,,1,2017,2017,1
NREMT,,1,2004,2004,1
NUCKLES,,1,2007,2007,1
NUNES,,1,2018,2018,1
NUNEZ,,1,2000,2000,1
NUNEZ-PEREZ,,1,2012,2012,1
NUSSINOW,,1,1988,1988,1
O'CONNOR,,1,2018,2018,1
O'DONOGHUE,,1,1996,1996,1
O'GRADY,,1,2014,2014,1
O'HURLEY,,1,2008,2008,1
O'MALLEY,,1,2015,2015,1
O'MARA,,1,2006,2006,1
O'MEALLY,,1,2001,2001,1
O'NEAL,,1,2006,2006,1
O'REILLY,,1,2011,2011,1
OAKLEY,,1,2017,2017,1
OAKS,,1,2003,2003,1
OBRADOVICH,,1,1994,1994,1
OBRIEN,,1,2012,2012,1
OBST,,1,2004,2004,1
"OCASEK,R",,1,1988,1988,1
OCASIO,,1,2006,2006,1
OCEAN,,1,2019,2019,1
OCHS,,1,2007,2007,1
ODEGARD,,1,1998,1998,1
ODELEYE,,1,1988,1988,1
ODOM,,1,2010,2010,1
ODVD,,1,2009,2009,1
OFRA,,1,2014,2014,1
OGAWA/DEPARDON,,1,2002,2002,1
OHMAN,,1,2020,2020,1
OK,,1,1993,1993,1
OKABE,,1,2014,2014,1
OKAHARA,,1,2019,2019,1
OKAMURA,,1,2018,2018,1
OKIHARA,,1,2010,2010,1
OKOCHA,,1,2005,2005,1
OKURA,,1,2012,2012,1
OLALEKAN,,1,2010,2010,1
OLEARI,,1,2010,2010,1
OLENICK,,1,2020,2020,1
OLENYIK,,1,1995,1995,1
OLIPHANT,,1,1994,1994,1
OLIVEIRA,,1,1996,1996,1
OLLIE,,1,1997,1997,1
OLMERT,,1,1997,1997,1
OLP,,1,2007,2007,1
OLUSOLA,,1,2021,2021,1
OMAN,,1,1990,1990,1
OMENAZU,,1,2014,2014,1
OMOIGUI,,1,1993,1993,1
ONEILL,,1,2012,2012,1
ONLI,,1,1994,1994,1
OPHEIM,,1,2009,2009,1
ORDONEZ,,1,2003,2003,1
OREGA,,1,2099,2099,1
ORLICH,,1,1993,1993,1
ORMSBY,,1,2008,2008,1
ORONA,,1,2012,2012,1
ORTEGA,,1,2017,2017,1
ORTIZ-GONZALEZ,,1,2001,2001,1
ORZELEK,,1,2011,2011,1
OSBERG,,1,1995,1995,1
OSHINSKIE,,1,2019,2019,1
OSMAN,,1,2016,2016,1
OSOFSKY,,1,2018,2018,1
OSTERGAARD,,1,1993,1993,1
OSTERLOH,,1,2004,2004,1
OSTROWSKI,,1,2007,2007,1
OTANO,,1,2013,2013,1
OTOMAN'S,,1,1993,1993,1
OTT,,1,2011,2011,1
OTTENHEIMER,,1,2001,2001,1
OTTIS,,1,2009,2009,1
OURIAN,,1,2019,2019,1
OY,,1,2012,2012,1
OYEWOLE,,1,2018,2018,1
OZIMALS,,1,2011,2011,1
OZUZU,,1,2020,2020,1
P.O.COYNE,,1,1988,1988,1
PACHALY,,1,2003,2003,1
PACK,,1,2003,2003,1
PAGLIA,,1,2012,2012,1
PAIC&EW,,1,2000,2000,1
PAIGE,,1,2000,2000,1
PAK,,1,2012,2012,1
PALACIO,,1,2017,2017,1
PALAZOLLO,,1,1998,1998,1
PALEY,,1,2016,2016,1
PALKA,,1,2020,2020,1
PALLEN,,1,2015,2015,1
PALMERO,,1,2021,2021,1
PALMGREN,,1,2017,2017,1
PALMIERI,,1,1995,1995,1
PALNIK,,1,2009,2009,1
PALO,,1,1996,1996,1
PALTHE,,1,1993,1993,1
PALTING,,1,2009,2009,1
PAN,,1,2016,2016,1
PANDORA,,1,1993,1993,1
PANDORF,,1,2007,2007,1
PANDULA,,1,2007,2007,1
PANEVA,,1,2013,2013,1
PANG,,1,2004,2004,1
PANGRITZ,,1,2021,2021,1
PANIZZA,,1,2003,2003,1
PANTON,,1,2018,2018,1
PAPADOPOULOS,,1,2000,2000,1
PAPAZIAN,,1,2018,2018,1
PAPEL/FREELANCE,,1,1991,1991,1
PAPP,,1,2099,2099,1
PAPPAS,,1,2020,2020,1
PAQUETTE,,1,2011,2011,1
PARAMOUNT,,1,1991,1991,1
PARDEE,,1,1999,1999,1
PARDO,,1,2011,2011,1
PARHAM,,1,2008,2008,1
PARIS,,1,2017,2017,1
PARISH,,1,1995,1995,1
PARISOT,,1,2008,2008,1
PARISOTTO,,1,2007,2007,1
PARLANGELI,,1,1997,1997,1
PARMLEY,,1,2099,2099,1
PARRIS,,1,1998,1998,1
PARSONT,,1,2014,2014,1
PARTYKA,,1,1995,1995,1
PASHANDI,,1,2016,2016,1
PASHMAN,,1,2006,2006,1
PASILLAS,,1,1989,1989,1
PATEL,,1,2021,2021,1
PATNAIK,,1,2015,2015,1
PATTON,,1,2000,2000,1
PAULSON,,1,2019,2019,1
PAVIA,,1,1996,1996,1
PAWNELL,,1,2016,2016,1
PAWSON,,1,2009,2009,1
PAYAN,,1,2020,2020,1
PAZIENZA,,1,1995,1995,1
PEABODY,,1,1998,1998,1
PEAKE,,1,2019,2019,1
PEARCE,,1,1992,1992,1
PEARMAN,,1,2009,2009,1
PEARSALL,,1,2019,2019,1
PEARSE-HOCKER,,1,2011,2011,1
PEARSON,,1,2003,2003,1
PEART,,1,2002,2002,1
PEBWORTH,,1,1997,1997,1
PEDERSEN,,1,2017,2017,1
PEEPLES,,1,2019,2019,1
PEGUERO,,1,2006,2006,1
PEIERS,,1,1988,1988,1
PEIKOFF,,1,1989,1989,1
PEIRSON,,1,2005,2005,1
PEKSA-KRZYSIAK,,1,2003,2003,1
PELKA,,1,2002,2002,1
PELLETIER,,1,2007,2007,1
PELLUS,,1,2008,2008,1
PELT,,1,1994,1994,1
PELUSO,,1,2002,2002,1
PENA-RIVERA,,1,1997,1997,1
PENDENS,,1,2011,2011,1
PENDER,,1,2013,2013,1
PENDERGRASS,,1,2003,2003,1
PENDERS,,1,2012,2012,1
PENELOPE,,1,1992,1992,1
PENNIMAN,,1,1989,1989,1
PENNINGTON,,1,2015,2015,1
PEPPER,,1,2004,2004,1
PEREDA,,1,2013,2013,1
PERKO,,1,2013,2013,1
PERREN,,1,2004,2004,1
PERRI,,1,2008,2008,1
PERSCHKE,,1,2014,2014,1
PERSON,,1,2020,2020,1
PERTHEL,,1,2004,2004,1
PESATURO,,1,2001,2001,1
"PETEDGE,INC.",,1,2005,2005,1
PETERMAN,,1,2019,2019,1
PETERS-MCGRATH,,1,2002,2002,1
PETET,,1,2003,2003,1
PETIPRIN,,1,1999,1999,1
PETIT,,1,1995,1995,1
PETTES,,1,1995,1995,1
PETTIGNANO,,1,2014,2014,1
PETTIT,,1,2099,2099,1
PETTY,,1,2008,2008,1
PETZ,,1,1991,1991,1
PFAFF,,1,1996,1996,1
PFEFFER,,1,2007,2007,1
PFEIFER,,1,1990,1990,1
PFEIFFER,,1,2018,2018,1
PHAM,,1,2006,2006,1
PHELAN,,1,1994,1994,1
PHELPS,,1,2005,2005,1
PHILIPS-MILLER,,1,1994,1994,1
PHILLIES,,1,2099,2099,1
PHOTOGRAPHY,,1,1991,1991,1
PHUNG,,1,2000,2000,1
PIATT,,1,1998,1998,1
PICCIRILLI,,1,1994,1994,1
PICHE,,1,2006,2006,1
PICKARD,,1,1989,1989,1
PICKERING,,1,2000,2000,1
PIECK,,1,2012,2012,1
PIEKARKSI,,1,2000,2000,1
PIERCE,,1,2099,2099,1
PIETSCH,,1,2002,2002,1
PILECKI,,1,1997,1997,1
PILKIN,,1,2099,2099,1
PILLAR,,1,2000,2000,1
PIMENTEL,,1,2018,2018,1
PINCOMB,,1,2013,2013,1
PINCUS,,1,1992,1992,1
PINEDO,,1,2020,2020,1
PINKE,,1,2015,2015,1
PINKHAM,,1,1994,1994,1
PINTO,,1,2012,2012,1
PINTO-GONZALEZ,,1,1999,1999,1
PIRO,,1,1997,1997,1
PISANI,,1,2007,2007,1
PISARELLO,,1,2010,2010,1
PISCIOTTI,,1,2099,2099,1
PISONI,,1,2008,2008,1
PITCAVAGE,,1,2006,2006,1
PITTMAN,,1,2003,2003,1
PIXAR,,1,1996,1996,1
PIZZETTI,,1,2010,2010,1
PIZZO,,1,1988,1988,1
PLACEK,,1,2001,2001,1
PLAKHOVA,,1,2018,2018,1
PLANESI,,1,2004,2004,1
PLASTERCRAFT,,1,1990,1990,1
PLATINUM,,1,1999,1999,1
PLOTA,,1,1999,1999,1
PLOTKIN-HOLLINSED,,1,1994,1994,1
PLUNKET,,1,2001,2001,1
PMI,,1,1988,1988,1
PN,,1,1988,1988,1
POCRASS,,1,1993,1993,1
POGACNIK,,1,1994,1994,1
POKEMPNER,,1,2012,2012,1
POLASKI,,1,1993,1993,1
POLIMENI,,1,1999,1999,1
POLING,,1,1995,1995,1
POLISAR,,1,2004,2004,1
POLK,,1,2010,2010,1
POLLARD,,1,2001,2001,1
POLLICK,,1,2011,2011,1
POLLINA,,1,2004,2004,1
POLLOCK,,1,2010,2010,1
POLONE,,1,2019,2019,1
POLSS,,1,2004,2004,1
POLT,,1,2012,2012,1
POLVENT,,1,2014,2014,1
POLVINEN,,1,1995,1995,1
POMERANZ,,1,2004,2004,1
PONCE,,1,1996,1996,1
POND,,1,2003,2003,1
POON,,1,2011,2011,1
POP,,1,2011,2011,1
POPOVICH,,1,2013,2013,1
POPPO,,1,2002,2002,1
PORCELLA,,1,1994,1994,1
POREMBA,,1,2000,2000,1
PORISS,,1,2006,2006,1
PORKKA,,1,2018,2018,1
PORTO,,1,2009,2009,1
PORZILLI,,1,1998,1998,1
POSTEK,,1,2012,2012,1
POSTMAN,,1,2016,2016,1
POTTINGER,,1,2005,2005,1
POULAIN,,1,2011,2011,1
POURSHIAN,,1,2018,2018,1
"POWELL,S",,1,1993,1993,1
POYNTER-TAYLOR,,1,1994,1994,1
PRACTICINGSMARTER,,1,2005,2005,1
PRATO,,1,2002,2002,1
PRECHEL,,1,2003,2003,1
PREDMORE,,1,2003,2003,1
PRELLER,,1,1995,1995,1
PRENTICE,,1,2011,2011,1
PRESLAR,,1,2017,2017,1
PRESSE,,1,2007,2007,1
PRESSER,,1,1995,1995,1
PRICEWESTERN,,1,2001,2001,1
PRIDE,,1,1988,1988,1
PRIMA,,1,2000,2000,1
PRIMOUS,,1,2008,2008,1
PRINCIPLE,,1,2003,2003,1
PRINGLE,,1,2012,2012,1
PRINTABLES,,1,1989,1989,1
PROCTOR,,1,2014,2014,1
PRODUCTIVITY,,1,1995,1995,1
PROFFITT,,1,2006,2006,1
PROLO,,1,2099,2099,1
PROXIBID,,1,2008,2008,1
PRUNTE',,1,2010,2010,1
PRUNTY,,1,2015,2015,1
PSYCHOPATHIC,,1,2002,2002,1
PUBLIC.RESOURCE.ORG,,1,2013,2013,1
PUCKETT,,1,2017,2017,1
PUENTES-SEGURA,,1,2017,2017,1
PUETZ,,1,2018,2018,1
PUJOL,,1,2020,2020,1
"PULLWARE,INC.",,1,2007,2007,1
PUNNETT,,1,1995,1995,1
PUPPO,,1,2018,2018,1
PURJES,,1,2018,2018,1
PUROHIT,,1,2020,2020,1
PUSTANIO,,1,2013,2013,1
PUTTERMAN,,1,1992,1992,1
PUWAL,,1,2011,2011,1
PYATT,,1,2009,2009,1
PYLE,,1,2017,2017,1
PYTKA,,1,1994,1994,1
QSG,,1,2015,2015,1
QUADE,,1,2005,2005,1
QUAGLIA,,1,2006,2006,1
QUALEY,,1,1996,1996,1
QUAN,,1,2020,2020,1
QUANTITATIVE,,1,1998,1998,1
QUARLES,,1,2019,2019,1
QUINLAN,,1,2001,2001,1
QUINONES,,1,2005,2005,1
QUINTELA,,1,2017,2017,1
QUIRK,,1,2013,2013,1
R.,,1,2017,2017,1
R.DIRICKSON,,1,1991,1991,1
RAABE,,1,2019,2019,1
RABALAIS,,1,2014,2014,1
RABASCA,,1,2003,2003,1
RABINER,,1,1997,1997,1
RACKI,,1,2006,2006,1
RADER,,1,2005,2005,1
RADKO,,1,1998,1998,1
RADLEY,,1,2019,2019,1
RAFKIN,,1,2004,2004,1
RAGIN,,1,2006,2006,1
RAHEEM,,1,2017,2017,1
RAHMAN,,1,2001,2001,1
RAHMING,,1,2008,2008,1
RAJALA,,1,2016,2016,1
RAJS,,1,2005,2005,1
RAK,,1,1993,1993,1
RAMANAN,,1,1999,1999,1
RAMANI,,1,2012,2012,1
RAMKISSOON,,1,1998,1998,1
RAMOS,,1,1998,1998,1
RAMOS-ALBELO,,1,2003,2003,1
RAMSEY,,1,2004,2004,1
RANCORP,,1,1988,1988,1
RANDALL,,1,2003,2003,1
RANDOLPH,,1,2009,2009,1
RANIERI,,1,2016,2016,1
RANK,,1,2010,2010,1
RANKIN,,1,2010,2010,1
RANKS,,1,2021,2021,1
RANO,,1,1991,1991,1
RANSOM,,1,2008,2008,1
RAO,,1,2008,2008,1
RAPHAEL,,1,2007,2007,1
RASHID,,1,2002,2002,1
RASKIND,,1,2005,2005,1
RASMUSSEN,,1,1994,1994,1
RASSAMNI,,1,2020,2020,1
RATAJ,,1,2004,2004,1
RATCLIFFE,,1,1997,1997,1
RATHI,,1,2000,2000,1
RATJE,,1,2021,2021,1
RATNARAJ,,1,2016,2016,1
RAU,,1,2005,2005,1
RAUM,,1,2002,2002,1
RAUSCHE,,1,1991,1991,1
RAUSCHENBERG,,1,2008,2008,1
RAVEN,,1,2016,2016,1
RAVNDAHL,,1,2014,2014,1
RAYNER,,1,2019,2019,1
RECHER,,1,1998,1998,1
RED,,1,2008,2008,1
REDDICK,,1,2016,2016,1
REDDING,,1,2007,2007,1
REDWOOD,,1,1993,1993,1
REGEN,,1,2001,2001,1
"REGENCY,INC.",,1,1991,1991,1
REGER,,1,2000,2000,1
REGOS,,1,2010,2010,1
REICH,,1,2013,2013,1
REIFFEL-HAMACHEK,,1,1994,1994,1
REIMAN,,1,2014,2014,1
REIMELS,,1,2005,2005,1
